id,secao,titulo,conteudo,empresa
1,1,Propósito,"A presente política estabelece as condições, prazos, passos e exceções aplicáveis a
solicitações de devolução, troca e reembolso realizadas por clientes da BuyMais em
compras efetuadas através de nossos canais oficiais de venda na LATAM.
Esta política busca oferecer uma experiência clara, ágil e consistente, sem perder de vista a
natureza variada de nosso catálogo e as particularidades logísticas de cada país da região.
Adicionalmente, esta política serve como guia de treinamento para a equipe de suporte e
pós-venda, com o objetivo de padronizar a avaliação de casos, reduzir ambiguidades e garantir
que cada resposta ao cliente mantenha a mesma lógica operacional e o tom de voz da marca
BuyMais.",BuyMais
2,2,Escopo,"Esta política aplica-se a:
• Compras realizadas na loja online da BuyMais
• Compras processadas pelo atendimento ao cliente com confirmação de pedido
• Produtos despachados dentro da LATAM, de acordo com a cobertura operacional vigente
• Solicitações de devolução por arrependimento, produto incorreto, dano em trânsito, defeito
de fábrica ou falta parcial
• Casos que envolvam coleta, retorno ao armazém ou validação de recebimento do produto
Não se aplica a:
• Compras realizadas por canais não oficiais
• Produtos personalizados ou feitos sob encomenda, salvo defeito de fábrica
• Produtos cuja embalagem ou lacres tenham sido alterados quando aplicável restrição
sanitária, de segurança ou de higiene
• Casos fora dos prazos estabelecidos nesta política, salvo revisão excepcional pela área de
Experiência do Cliente
• Solicitações vinculadas a fraude comprovada, abuso do sistema ou falsidade ideológica
• Reclamações que já tenham sido resolvidas e encerradas formalmente, salvo reabertura
autorizada",BuyMais
3,3,Princípios gerais,"Na BuyMais, entendemos que uma compra online pode exigir ajustes. Por isso, nossa
lógica operacional prioriza:
• Validação rápida do caso
• Comunicação clara
• Solução consistente
• Rastreabilidade do pedido
• Coordenação com logística, pagamentos e garantia quando aplicável
• Critério uniforme entre países, mantendo a regulamentação local aplicável
Quando uma solicitação envolve dano, falha ou produto faltante, a equipe de suporte poderá
consultar o Manual de Garantia de Produtos da BuyMais antes de definir se corresponde
devolução, substituição ou reparo.
A resolução de cada caso deve considerar tanto a experiência do cliente quanto a proteção da
operação. Isso significa que a BuyMais busca ser flexível quando apropriado, mas também
prudente quando a reclamação não atende a critérios objetivos de elegibilidade.",BuyMais
4,4,Definições operacionais,"4.1 Reembolso
Devolução do dinheiro pago pelo cliente, total ou parcial, conforme a resolução do caso.
4.2 Devolução
Retorno físico do produto aos centros operacionais da BuyMais ou a um ponto de coleta
autorizado.
4.3 Troca
Substituição do produto por outro igual ou equivalente, conforme a disponibilidade.
4.4 Defeito de fábrica
Defeito de origem não provocado por uso indevido, quedas/pancadas, manipulação
inadequada ou instalação incorreta por parte do cliente.
4.5 Dano em trânsito
Deterioração do produto ocorrida durante o transporte e devidamente verificada pela BuyMais ou pelo operador logístico.
4.6 Pedido incorreto
Entrega de um produto diferente do comprado, ou com variação errada em relação à
confirmação do pedido.
4.7 Arrependimento
Solicitação do cliente para desistir da compra dentro do prazo aplicável, quando a
regulamentação local ou a política interna o permitem.
4.8 Falta parcial
Situação em que o pedido chega incompleto e uma parte do conteúdo não foi incluída no
despacho ou não pôde ser atestada na entrega.",BuyMais
5,5,Prazos de solicitação,"5.1 Arrependimento de compra
O cliente pode solicitar devolução por arrependimento dentro dos 10 dias corridos
subsequentes ao recebimento do pedido, desde que o produto cumpra com os requisitos de
elegibilidade.
5.2 Produto incorreto, faltante ou dano visível
A solicitação deve ser feita dentro das 48 horas seguintes à entrega, anexando evidência
fotográfica ou vídeo de acordo com o tipo de incidência.
5.3 Falha de funcionamento
A solicitação deve ser realizada dentro do período de garantia aplicável ao produto, conforme
o Manual de Garantia de Produtos da BuyMais.
5.4 Reembolso aprovado
Uma vez aprovado, o reembolso é processado em um prazo de 5 a 10 dias úteis, dependendo
do método de pagamento e do país de origem da compra.
5.5 Casos com revisão estendida
Em situações que exijam validação adicional com o operador logístico, análise técnica ou
verificação de pagamento, o prazo poderá ser estendido, informando ao cliente o status do
processo e o novo tempo estimado.",BuyMais
6,6,Canais de atendimento,"As solicitações são gerenciadas unicamente pelos canais oficiais da BuyMais:
• Central de ajuda na web
• Formulário de pós-venda
• Chat de suporte
• E-mail de atendimento ao cliente
A equipe poderá pedir informações adicionais para validar identidade, pedido e estado do
produto.
Não são consideradas válidas as solicitações enviadas por canais não oficiais, mensagens
isoladas sem dados mínimos do pedido ou publicações em redes sociais sem o devido
encaminhamento formal ao sistema de atendimento.",BuyMais
7,7,Condições para aceitar uma devolução,"Para que uma devolução seja aceita, o produto deve cumprir com o seguinte:
• Contar com comprovante de compra ou número do pedido
• Ser apresentada dentro do prazo aplicável
• Estar completo, com acessórios, manuais e brindes promocionais, se houver
• Não mostrar sinais de uso incompatíveis com a revisão solicitada
• Manter, quando aplicável, a embalagem original ou proteção equivalente
• Não ter sido submetido a reparo externo não autorizado
Além disso, a equipe de suporte poderá verificar:
• Coincidência entre o produto recebido e o declarado pelo cliente
• Estado visível do item
• Condições da embalagem
• Integridade de lacres ou etiquetas, quando aplicável
• Coerência entre a evidência apresentada e o relato do caso",BuyMais
8,8,Casos elegíveis,"8.1 Arrependimento
Aplica-se quando o cliente decide não ficar com o produto por motivos pessoais, desde que
não se trate de uma categoria excluída.
8.2 Erro de despacho
Aplica-se quando o produto entregue não coincide com o pedido confirmado.
8.3 Produto danificado
Aplica-se quando o produto apresenta dano visível ao ser recebido e é registrado dentro do
prazo de 48 horas.
8.4 Falha coberta por garantia
Aplica-se quando o produto deixa de funcionar por causas atribuíveis à fabricação ou
materiais, dentro do período de garantia.
8.5 Falta parcial
Aplica-se quando o pedido chega incompleto e o item faltante pode ser validado pelo
armazém, logística ou evidência fornecida pelo cliente.
8.6 Incidência de entrega atribuível à operação
Aplica-se quando o caso apresenta evidência de erro interno na preparação, despacho,
etiquetagem ou coordenação logística.",BuyMais
9,9,Casos não elegíveis,"Não são aceitas devoluções ou reembolsos por:
• Uso indevido
• Instalação incorreta
• Danos provocados por água, fogo, umidade extrema ou descargas elétricas não associadas
a defeito de fábrica
• Produtos consumíveis já abertos, salvo defeito comprovado
• Itens alterados, lavados, modificados ou incompletos por causas alheias à operação
• Solicitações apresentadas fora do prazo
• Insatisfação subjetiva sem relação com o produto entregue e sem cumprimento das
condições de arrependimento
• Perda de acessórios sob custódia do cliente, quando não existam indícios de erro
operacional
• Danos estéticos menores não atribuíveis à fabricação, transporte ou embalagem
• Casos sem evidência suficiente, quando a validação necessária não puder ser concluída",BuyMais
10,10,Fluxo de atendimento,"Passo 1. Recebimento da solicitação
O cliente envia sua solicitação por um canal oficial.
Passo 2. Validação inicial
O suporte verifica:
• Número do pedido
• Data de entrega
• Motivo
• Evidência
• Elegibilidade preliminar
Passo 3. Classificação do caso
A solicitação é classificada como:
• Arrependimento
• Troca
• Reembolso
• Garantia
• Incidência logística
Passo 4. Resolução
Determina-se uma das seguintes ações:
• Reembolso total
• Reembolso parcial
• Troca pelo mesmo produto
• Troca por produto equivalente
• Revisão por garantia
• Recusa fundamentada
Passo 5. Encerramento
O cliente recebe confirmação por escrito com o resultado e os próximos passos.
Passo 6. Confirmação operacional
Quando aplicável, a equipe registra:
• Número do caso
• Status final
• Responsável pela ação
• Data estimada de execução
• Observações internas",BuyMais
11,11,Reembolsos parciais,"Pode ser aplicado o reembolso parcial quando:
• Falta um acessório não essencial
• O pedido apresenta uma incidência compensável de forma proporcional
• O cliente aceita manter parte do pedido com desconto ou compensação definida pela
BuyMais
• A devolução física não é necessária para resolver completamente o caso
• É acordado um ajuste comercial para encerrar a incidência
Toda compensação parcial deve ficar registrada com motivo, valor e aprovação interna.
Quando esse tipo de resolução for aplicado, o cliente deve receber uma explicação clara sobre:
• Qual parte está sendo compensada
• Qual parte permanece sem ajuste
• Como o valor foi calculado
• Qual o próximo passo, se aplicável",BuyMais
12,12,Custos de devolução,"12.1 Por arrependimento
Quando a devolução é realizada por decisão do cliente e não existe erro atribuível à BuyMais, o custo de retorno pode ser assumido pelo cliente, desde que a legislação local o permita
e o caso tenha sido informado de forma prévia.
12.2 Por erro da BuyMais
Se o erro for atribuível à BuyMais, a coleta ou devolução não terá custo para o cliente.
12.3 Por garantia
Se a revisão confirmar falha coberta pela garantia, a BuyMais assumirá o custo logístico de
retorno ou coleta, conforme a disponibilidade operacional.
12.4 Por incidência compartilhada
Se o caso apresentar elementos mistos, a área de pós-venda poderá definir se o custo será
distribuído, compensado parcialmente ou assumido integralmente por uma das partes, de
acordo com a regulamentação local e a evidência disponível.",BuyMais
13,13,Relação com envios,"As devoluções associadas a entregas atrasadas, pacotes extraviados ou produtos danificados
em trânsito devem ser avaliadas em conjunto com as informações contidas no Guia de Prazos
e Custos de Envio da BuyMais. Em casos de disputa por entrega, o número de
rastreamento e o status logístico serão considerados evidência operacional.
Também podem ser considerados:
• Confirmação de despacho
• Registro de tentativa de entrega
• Observações do operador logístico
• Prova de endereço
• Histórico de movimentações do pacote",BuyMais
